ORIGIN,DEST,CANCELLED,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,ARR_DELAY
ABQ,LAX,0,0,,,,,,7
ABQ,OAK,0,0,,,,,,-9
ABQ,OAK,0,0,3,0,0,0,36,39
ABQ,OAK,0,0,,,,,,14
ABQ,SAN,0,0,11,0,0,0,49,60
ABQ,SAN,0,0,,,,,,1
ABQ,LAX,0,0,,,,,,-24
ABQ,LAX,0,0,19,0,0,0,11,30
ABQ,LAX,0,0,19,0,0,0,0,19
ABQ,OAK,0,0,,,,,,3
ABQ,OAK,0,0,16,0,0,0,52,68
ABQ,OAK,0,0,33,0,0,0,2,35
ABQ,SAN,0,0,,,,,,-7
ABQ,SAN,0,0,16,0,0,0,6,22
ABQ,LAX,0,0,6,0,0,0,41,47
ABQ,LAX,0,0,,,,,,-6
ABQ,LAX,0,0,18,0,0,0,7,25
ABQ,OAK,0,0,,,,,,-8
ABQ,OAK,0,0,,,,,,-13
ABQ,OAK,0,0,,,,,,-20
ABQ,SAN,0,0,,,,,,-12
ABQ,SAN,0,0,,,,,,-7
ABQ,LAX,0,0,,,,,,-10
ABQ,LAX,0,0,,,,,,-25
ABQ,LAX,0,0,,,,,,-23
ABQ,OAK,0,0,0,0,0,0,28,28
ABQ,OAK,0,0,,,,,,-18
ABQ,SAN,0,0,,,,,,-27
ABQ,SAN,0,0,,,,,,5
ABQ,LAX,0,0,10,0,0,0,53,63
ABQ,LAX,0,0,,,,,,-23
ABQ,LAX,0,0,,,,,,-30
ABQ,OAK,0,0,,,,,,7
ABQ,OAK,0,0,,,,,,-16
ABQ,SAN,0,0,,,,,,4
ABQ,SAN,0,0,,,,,,4
ABQ,LAX,0,0,,,,,,-10
ABQ,LAX,0,0,,,,,,-26
ABQ,LAX,0,0,,,,,,-20
ABQ,OAK,0,0,,,,,,2
ABQ,OAK,0,0,,,,,,-29
ABQ,SAN,0,0,,,,,,-23
ABQ,SAN,0,0,24,0,0,0,0,24
ABQ,LAX,0,0,,,,,,-22
ABQ,LAX,0,0,,,,,,-26
ABQ,LAX,0,0,,,,,,-17
ABQ,OAK,0,0,,,,,,-23
ABQ,OAK,0,0,,,,,,-30
ABQ,SAN,0,0,,,,,,-15
ABQ,SAN,0,0,,,,,,-3
ABQ,LAX,0,0,,,,,,-11
ABQ,LAX,0,0,,,,,,-11
ABQ,OAK,0,0,,,,,,-23
ABQ,SAN,0,0,,,,,,-3
ABQ,LAX,0,0,1,0,0,0,33,34
ABQ,LAX,0,0,,,,,,-17
ABQ,LAX,0,0,0,0,15,0,0,15
ABQ,OAK,0,0,,,,,,-12
ABQ,OAK,0,0,,,,,,-22
ABQ,SAN,0,0,,,,,,-18
ABQ,SAN,0,0,0,0,0,0,90,90
ABQ,LAX,0,0,,,,,,-1
ABQ,LAX,0,0,,,,,,-13
ABQ,OAK,0,0,,,,,,-14
ABQ,SAN,0,0,4,0,0,0,100,104
ABQ,LAX,0,0,,,,,,1
ABQ,LAX,0,0,,,,,,5
ABQ,LAX,0,0,,,,,,-7
ABQ,OAK,0,0,,,,,,-17
ABQ,OAK,0,0,,,,,,1
ABQ,SAN,0,0,,,,,,5
ABQ,LAX,0,0,,,,,,-15
ABQ,LAX,0,0,,,,,,-5
ABQ,LAX,0,0,,,,,,-5
ABQ,OAK,0,0,,,,,,-18
ABQ,OAK,0,0,,,,,,8
ABQ,SAN,0,0,,,,,,-13
ABQ,LAX,0,0,,,,,,-13
ABQ,LAX,0,0,,,,,,-14
ABQ,LAX,0,0,,,,,,-12
ABQ,OAK,0,0,,,,,,-5
ABQ,OAK,0,0,,,,,,-6
ABQ,SAN,0,0,,,,,,-18
ABQ,SAN,0,0,,,,,,-2
ABQ,LAX,0,0,,,,,,-28
ABQ,LAX,0,0,,,,,,-12
ABQ,LAX,0,0,,,,,,3
ABQ,OAK,0,0,,,,,,-10
ABQ,OAK,0,0,,,,,,-19
ABQ,SAN,0,0,4,0,0,0,14,18
ABQ,LAX,0,0,,,,,,-11
ABQ,LAX,0,0,153,0,0,0,0,153
ABQ,OAK,0,0,,,,,,-5
ABQ,SAN,0,0,,,,,,14
ABQ,LAX,0,0,,,,,,-5
ABQ,LAX,0,0,,,,,,-13
ABQ,OAK,0,0,,,,,,11
ABQ,SAN,0,0,,,,,,-12
ABQ,LAX,0,0,,,,,,-3
ABQ,LAX,0,0,6,0,9,0,0,15
ABQ,LAX,0,0,0,0,19,0,0,19
ABQ,OAK,0,0,,,,,,-2
ABQ,OAK,0,0,,,,,,-1
ABQ,SAN,0,0,,,,,,-6
ABQ,SAN,0,0,,,,,,-7
ABQ,LAX,0,0,,,,,,13
ABQ,LAX,0,0,,,,,,-16
ABQ,LAX,0,0,,,,,,-6
ABQ,OAK,0,0,0,0,20,0,0,20
ABQ,OAK,0,0,,,,,,-19
ABQ,SAN,0,0,,,,,,-11
ABQ,SAN,0,0,,,,,,-11
ABQ,LAX,0,0,,,,,,-8
ABQ,LAX,0,0,,,,,,-20
ABQ,LAX,0,0,,,,,,-5
ABQ,OAK,0,0,,,,,,-19
ABQ,OAK,1,0,,,,,,
ABQ,SAN,0,0,,,,,,-24
ABQ,SAN,0,0,0,0,0,0,47,47
ABQ,LAX,0,0,,,,,,-28
ABQ,LAX,0,0,,,,,,-23
ABQ,LAX,0,0,,,,,,-15
ABQ,OAK,0,0,,,,,,-16
ABQ,OAK,0,0,,,,,,-13
ABQ,SAN,0,0,,,,,,-20
ABQ,SAN,0,0,,,,,,-11
ABQ,LAX,0,0,,,,,,-19
ABQ,LAX,0,0,,,,,,7
ABQ,LAX,0,0,,,,,,11
ABQ,OAK,0,0,4,0,0,0,44,48
ABQ,OAK,0,0,5,0,0,0,12,17
ABQ,OAK,0,0,,,,,,-10
ABQ,SAN,0,0,,,,,,-11
ABQ,SAN,0,0,,,,,,8
ABQ,LAX,0,0,,,,,,-18
ABQ,LAX,0,0,,,,,,-11
ABQ,OAK,0,0,,,,,,-19
ABQ,SAN,0,0,,,,,,-19
ABQ,LAX,0,0,,,,,,-14
ABQ,LAX,0,0,,,,,,5
ABQ,OAK,0,0,,,,,,-21
ABQ,SAN,0,0,,,,,,-4
ABQ,LAX,0,0,,,,,,-23
ABQ,LAX,0,0,,,,,,-25
ABQ,LAX,0,0,,,,,,-16
ABQ,OAK,0,0,,,,,,-22
ABQ,OAK,0,0,,,,,,-9
ABQ,SAN,0,0,,,,,,-18
ABQ,SAN,0,0,,,,,,-15
ABQ,LAX,0,0,,,,,,-18
ABQ,LAX,0,0,65,0,0,0,0,65
ABQ,LAX,0,0,,,,,,-25
ABQ,OAK,0,0,,,,,,-19
ABQ,OAK,0,0,,,,,,-23
ABQ,SAN,0,0,,,,,,-1
ABQ,SAN,0,0,0,0,0,0,27,27
ABQ,LAX,0,0,,,,,,-9
ABQ,LAX,0,0,,,,,,-20
ABQ,LAX,0,0,,,,,,-4
ABQ,OAK,0,0,,,,,,-20
ABQ,OAK,0,0,,,,,,-16
ABQ,SAN,0,0,,,,,,-11
ABQ,SAN,0,0,,,,,,1
ABQ,LAX,0,0,,,,,,-8
ABQ,LAX,0,0,,,,,,-10
ABQ,LAX,0,0,,,,,,-6
ABQ,OAK,0,0,,,,,,0
ABQ,OAK,0,0,,,,,,-24
ABQ,SAN,0,0,,,,,,-8
ABQ,SAN,0,0,,,,,,-12
ABQ,LAX,0,0,,,,,,5
ABQ,LAX,0,0,,,,,,-17
ABQ,OAK,0,0,,,,,,-16
ABQ,SAN,0,0,,,,,,-22
ABQ,LAX,0,0,,,,,,2
ABQ,LAX,0,0,,,,,,-1
ABQ,LAX,0,0,,,,,,0
ABQ,OAK,0,0,,,,,,8
ABQ,OAK,0,0,0,0,24,0,0,24
ABQ,SAN,0,0,,,,,,-14
ABQ,SAN,0,0,,,,,,-7
ABQ,LAX,0,0,,,,,,-12
ABQ,LAX,0,0,,,,,,14
ABQ,LAX,0,0,,,,,,-5
ABQ,OAK,0,0,,,,,,-24
ABQ,OAK,0,0,,,,,,-10
ABQ,SAN,0,0,,,,,,7
ABQ,SAN,0,0,,,,,,-13
ACV,SFO,0,0,0,0,19,0,19,38
ACV,SFO,0,0,,,,,,-13
ACV,SFO,1,0,,,,,,
ACV,SFO,0,0,,,,,,-15
ACV,SFO,0,0,0,0,48,0,0,48
ACV,SFO,0,0,,,,,,-20
ACV,SFO,0,0,,,,,,-23
ACV,SFO,0,0,,,,,,-22
ACV,SFO,0,0,,,,,,-2
ACV,SFO,0,0,,,,,,-17
ACV,SFO,0,0,,,,,,-12
ACV,SFO,0,0,,,,,,-1
ACV,SFO,0,0,,,,,,3
ACV,SFO,1,0,,,,,,
ACV,SFO,0,0,,,,,,6
ACV,SFO,0,0,,,,,,-1
ACV,SFO,0,0,,,,,,6
ACV,SFO,0,0,,,,,,13
ACV,SFO,0,0,0,0,0,0,68,68
ACV,SFO,0,0,,,,,,-20
ACV,SFO,0,0,,,,,,-18
ACV,SFO,0,0,,,,,,-5
ACV,SFO,0,0,,,,,,-4
ACV,SFO,0,0,,,,,,-4
ACV,SFO,0,0,,,,,,-9
ACV,SFO,0,0,,,,,,-9
ACV,SFO,0,0,,,,,,-9
ACV,SFO,0,0,,,,,,4
ACV,SFO,0,0,0,0,0,0,51,51
ACV,SFO,0,0,0,0,0,0,67,67
ACV,SFO,0,0,60,0,0,0,0,60
ACV,SFO,0,0,75,0,0,0,87,162
ACV,SFO,0,0,,,,,,4
ACV,SFO,0,0,,,,,,-15
ACV,SFO,0,0,,,,,,-10
ACV,SFO,0,0,,,,,,-10
ACV,SFO,0,0,,,,,,-17
ACV,SFO,0,0,,,,,,-14
ACV,SFO,0,0,,,,,,-24
ACV,SFO,0,0,,,,,,-13
ACV,SFO,0,0,0,0,1,0,36,37
ACV,SFO,0,0,,,,,,-13
ACV,SFO,0,0,0,0,0,0,149,149
ACV,SFO,0,0,0,0,0,0,71,71
ACV,SFO,0,0,,,,,,-13
ACV,SFO,0,0,,,,,,-20
ACV,SFO,0,0,26,0,0,0,0,26
ACV,SFO,0,0,,,,,,-19
ACV,SFO,0,0,,,,,,-23
ACV,SFO,0,0,,,,,,-5
ACV,SFO,0,0,,,,,,-15
ACV,SFO,0,0,,,,,,10
ACV,SFO,1,0,,,,,,
ACV,SFO,0,0,,,,,,-25
ACV,SFO,0,0,0,0,26,0,0,26
ACV,SFO,0,0,,,,,,0
ACV,SFO,0,0,0,0,23,0,0,23
ACV,SFO,0,0,0,0,23,0,0,23
ACV,SFO,0,0,,,,,,-2
ACV,SFO,0,0,0,0,21,0,0,21
ACV,SFO,0,0,0,0,21,0,0,21
ACV,SFO,0,0,,,,,,2
ACV,SFO,0,0,,,,,,4
ACV,SFO,0,0,,,,,,9
ACV,SFO,0,0,,,,,,9
ACV,SFO,0,0,,,,,,10
ACV,SFO,0,0,,,,,,-18
ACV,SFO,0,0,0,0,36,0,0,36
ACV,SFO,0,0,,,,,,1
ACV,SFO,0,0,0,0,18,0,0,18
ACV,SFO,0,0,0,0,73,0,0,73
ACV,SFO,0,0,0,0,136,0,0,136
ACV,SFO,0,0,0,0,222,0,0,222
ACV,SFO,0,0,94,0,0,0,0,94
ACV,SFO,0,0,,,,,,-11
ACV,SFO,0,0,,,,,,-15
ACV,SFO,0,0,,,,,,-15
ACV,SFO,0,0,,,,,,-20
ACV,SFO,0,0,,,,,,-10
ACV,SFO,0,0,,,,,,-16
ACV,SFO,0,0,,,,,,2
ACV,SFO,0,0,0,0,37,0,0,37
ACV,SFO,0,0,,,,,,6
ACV,SFO,0,0,,,,,,-26
ACV,SFO,0,0,,,,,,5
ACV,SFO,0,0,,,,,,-25
ACV,SFO,0,0,,,,,,-24
ACV,SFO,0,0,,,,,,-11
ACV,SFO,0,0,0,0,92,0,0,92
ACV,SFO,0,0,0,0,59,0,0,59
ACV,SFO,0,0,0,0,123,0,0,123
ACV,SFO,0,0,0,0,115,0,0,115
ACV,SFO,0,0,,,,,,-14
ACV,SFO,0,0,0,0,71,0,0,71
ACV,SFO,0,0,291,0,0,0,0,291
ACV,SFO,0,0,293,0,0,0,0,293
ACV,SFO,0,0,0,0,17,0,73,90
ACV,SFO,0,0,,,,,,-16
ACV,SFO,0,0,0,0,49,0,0,49
ACV,SFO,0,0,0,0,0,0,148,148
ACV,SFO,0,0,,,,,,-1
ACV,SFO,0,0,0,0,0,0,165,165
ACV,SFO,0,0,,,,,,-6
ACV,SFO,0,0,0,0,0,0,167,167
ACV,SFO,0,0,,,,,,-17
ACV,SFO,0,0,,,,,,-12
ACV,SFO,0,0,0,0,0,0,77,77
ACV,SFO,0,0,0,0,0,0,40,40
ACV,SFO,0,0,,,,,,-4
ACV,SFO,0,0,0,0,0,0,66,66
ACV,SFO,0,0,,,,,,-10
ACV,SFO,0,0,,,,,,-15
ACV,SFO,0,0,,,,,,-21
ACV,SFO,0,0,,,,,,-14
ACV,SFO,0,0,,,,,,-14
ACV,SFO,0,0,,,,,,-11
ACV,SFO,0,0,,,,,,5
ACV,SFO,0,0,,,,,,-1
ACV,SFO,0,0,0,0,0,0,87,87
ACV,SFO,0,0,,,,,,-15
ACV,SFO,0,0,,,,,,-24
ACV,SFO,0,0,,,,,,-10
ACV,SFO,0,0,,,,,,-1
ACV,SFO,0,0,,,,,,-17
ACV,SFO,0,1,,,,,,
ACV,SFO,0,0,,,,,,-18
ACV,SFO,0,0,,,,,,-10
ACV,SFO,0,0,,,,,,-18
ACV,SFO,0,0,,,,,,-23
ACV,SFO,0,0,0,0,0,0,85,85
ACV,SFO,0,0,0,0,69,0,11,80
ACV,SFO,0,0,,,,,,-1
ACV,SFO,0,0,,,,,,-7
ACV,SFO,0,0,,,,,,10
ACV,SFO,0,0,,,,,,-10
ACV,SFO,0,0,,,,,,-15
ACV,SFO,0,0,,,,,,-8
ACV,SFO,0,0,,,,,,-6
ACV,SFO,0,0,,,,,,-22
ACV,SFO,0,0,,,,,,-13
ACV,SFO,0,0,0,0,64,0,0,64
ACV,SFO,0,0,0,0,146,0,0,146
ACV,SFO,0,0,,,,,,-12
ACV,SFO,0,0,0,0,0,0,16,16
ACV,SFO,0,0,0,0,0,0,46,46
ACV,SFO,0,0,,,,,,-2
ACV,SFO,0,0,0,0,15,0,99,114
ACV,SFO,0,0,0,0,26,0,2,28
ACV,SFO,0,0,154,0,0,0,0,154
ACV,SFO,0,0,,,,,,-14
ANC,LAX,0,0,,,,,,-33
ANC,LAX,0,0,,,,,,-29
ANC,LAX,0,0,0,0,0,0,111,111
ANC,LAX,0,0,,,,,,-13
ANC,LAX,0,0,,,,,,-42
ANC,LAX,0,0,0,0,25,0,0,25
ANC,LAX,0,0,,,,,,-17
ANC,LAX,0,0,,,,,,-27
ANC,LAX,0,0,,,,,,-12
ANC,LAX,0,0,,,,,,-15
ANC,LAX,0,0,,,,,,-12
ANC,LAX,0,0,,,,,,-4
ANC,LAX,0,0,,,,,,-24
ANC,LAX,0,0,,,,,,-14
ANC,LAX,0,0,,,,,,-1
ANC,LAX,0,0,,,,,,2
ANC,LAX,0,0,,,,,,-7
ANC,LAX,0,0,,,,,,7
ANC,LAX,0,0,,,,,,-27
ANC,SFO,0,0,4,0,0,0,24,28
ANC,SFO,0,0,7,0,0,0,31,38
ANC,SFO,0,0,0,0,0,0,151,151
ANC,SFO,0,0,5,0,0,0,25,30
ANC,SFO,0,0,6,0,0,0,14,20
ASE,LAX,0,0,0,9,0,0,59,68
ASE,LAX,0,0,8,0,0,0,9,17
ASE,LAX,0,0,,,,,,10
ASE,LAX,0,0,,,,,,11
ASE,LAX,0,0,37,0,0,0,27,64
ASE,LAX,0,0,,,,,,-14
ASE,LAX,0,0,,,,,,-15
ASE,LAX,0,0,,,,,,-12
ASE,LAX,0,0,,,,,,-4
ASE,LAX,0,0,27,0,0,0,35,62
ASE,LAX,1,0,,,,,,
ASE,LAX,0,0,5,0,0,0,18,23
ASE,LAX,0,0,,,,,,-28
ASE,LAX,0,0,,,,,,-8
ASE,LAX,0,0,25,0,0,0,132,157
ASE,LAX,0,0,,,,,,10
ASE,LAX,0,0,,,,,,2
ASE,LAX,0,1,,,,,,
ASE,LAX,0,0,0,39,14,0,28,81
ASE,LAX,0,0,,,,,,8
ASE,LAX,0,0,0,15,0,0,24,39
ASE,LAX,0,0,1,0,0,0,71,72
ASE,LAX,0,0,,,,,,-9
ASE,LAX,0,0,0,16,0,0,0,16
ASE,LAX,0,0,,,,,,14
ASE,LAX,0,0,,,,,,-1
ASE,LAX,0,0,,,,,,-25
ASE,LAX,0,0,,,,,,-4
ASE,LAX,0,0,0,0,0,0,53,53
ASE,LAX,0,0,,,,,,-30
ASE,LAX,0,0,0,0,0,0,73,73
ASE,SFO,0,0,65,0,3,0,0,68
ASE,SFO,0,0,101,0,7,0,0,108
ASE,SFO,1,0,,,,,,
ASE,SFO,0,0,,,,,,0
ASE,SFO,0,0,11,0,55,0,0,66
ASE,SFO,0,0,,,,,,-10
ASE,SFO,0,0,7,0,0,0,70,77
ASE,SFO,0,0,0,0,0,0,160,160
ASE,SFO,0,0,14,0,0,0,63,77
ASE,SFO,1,0,,,,,,
ASE,SFO,0,0,,,,,,14
ASE,SFO,0,0,0,0,0,0,50,50
ASE,SFO,0,0,,,,,,-15
ASE,SFO,0,0,,,,,,-3
ASE,SFO,0,0,,,,,,-20
ASE,SFO,0,0,,,,,,-20
ASE,SFO,0,0,,,,,,-22
ASE,SFO,0,0,,,,,,-31
ASE,SFO,0,0,,,,,,12
ASE,SFO,0,0,0,0,0,0,18,18
ASE,SFO,1,0,,,,,,
ASE,SFO,0,0,,,,,,5
ASE,SFO,0,0,,,,,,2
ASE,SFO,0,0,0,0,56,0,0,56
ASE,SFO,0,0,,,,,,-3
ASE,SFO,0,0,,,,,,-2
ASE,SFO,0,0,11,0,0,0,9,20
ASE,SFO,0,0,,,,,,11
ASE,LAX,0,0,0,5,1,0,47,53
ASE,LAX,0,0,,,,,,-13
ASE,LAX,0,0,,,,,,-7
ASE,LAX,0,0,,,,,,-15
ASE,LAX,1,0,,,,,,
ASE,LAX,0,0,,,,,,-24
ASE,LAX,0,0,,,,,,2
ASE,LAX,0,0,,,,,,10
ASE,LAX,1,0,,,,,,
ASE,LAX,0,0,,,,,,-9
ASE,LAX,0,0,,,,,,14
ASE,LAX,0,0,77,0,0,0,0,77
ASE,LAX,0,0,,,,,,12
ASE,LAX,0,0,,,,,,-2
ASE,LAX,0,0,,,,,,-20
ASE,LAX,0,0,,,,,,9
ASE,LAX,1,0,,,,,,
ASE,LAX,0,0,,,,,,-23
ASE,LAX,0,0,,,,,,-23
ASE,LAX,0,0,,,,,,-19
ASE,LAX,0,0,,,,,,-2
ASE,LAX,0,0,,,,,,-21
ASE,LAX,0,0,,,,,,-21
ASE,LAX,0,0,,,,,,-27
ASE,LAX,0,0,,,,,,-21
ASE,LAX,0,0,,,,,,9
ASE,LAX,0,0,97,0,0,0,0,97
ASE,LAX,0,0,,,,,,-13
ASE,LAX,0,0,,,,,,-13
ASE,LAX,0,0,,,,,,-18
ASE,LAX,0,0,,,,,,-9
ASE,LAX,0,0,,,,,,-7
ASE,LAX,0,0,,,,,,-7
ASE,LAX,1,0,,,,,,
ASE,LAX,0,0,,,,,,2
ASE,LAX,0,0,125,0,0,0,0,125
ASE,LAX,0,0,112,0,0,0,0,112
ASE,LAX,0,0,82,0,0,0,0,82
ASE,LAX,0,0,49,0,7,0,12,68
ASE,LAX,0,0,0,0,0,0,41,41
ASE,LAX,0,0,,,,,,6
ASE,LAX,0,0,,,,,,7
ASE,LAX,0,0,,,,,,13
ASE,LAX,0,0,,,,,,1
ASE,LAX,0,0,0,0,0,0,36,36
ASE,LAX,0,0,17,0,3,0,32,52
ASE,LAX,0,0,0,0,0,0,133,133
ASE,LAX,0,0,,,,,,-18
ASE,LAX,0,0,,,,,,1
ASE,LAX,0,0,,,,,,4
ASE,LAX,0,0,,,,,,0
ASE,LAX,0,0,0,0,0,0,77,77
ASE,LAX,0,0,0,0,2,0,19,21
ASE,LAX,0,0,,,,,,5
ASE,LAX,0,0,0,0,0,0,38,38
ASE,LAX,0,0,,,,,,-1
ASE,LAX,0,0,196,0,0,0,0,196
ASE,LAX,0,0,0,0,0,0,47,47
ASE,LAX,0,0,,,,,,-18
ASE,LAX,0,0,,,,,,-23
ASE,LAX,0,0,,,,,,-1
ASE,LAX,0,0,,,,,,-11
ASE,LAX,0,0,0,0,0,0,18,18
ASE,LAX,0,0,0,0,0,0,97,97
ASE,LAX,1,0,,,,,,
ASE,LAX,0,0,,,,,,-16
ASE,LAX,0,0,,,,,,0
ASE,LAX,0,0,4,0,3,0,17,24
ASE,LAX,0,0,,,,,,14
ASE,LAX,0,0,,,,,,-10
ASE,LAX,0,0,,,,,,-4
ASE,LAX,0,0,,,,,,-7
ASE,LAX,0,0,,,,,,14
ASE,LAX,0,0,,,,,,-18
ASE,LAX,0,0,,,,,,-21
ASE,LAX,0,0,,,,,,-25
ASE,LAX,0,0,,,,,,-15
ASE,LAX,0,0,,,,,,-13
ASE,LAX,0,0,,,,,,3
ASE,LAX,0,0,,,,,,1
ASE,LAX,0,0,0,22,0,0,21,43
ASE,LAX,0,0,37,0,0,0,0,37
ASE,LAX,0,0,,,,,,6
ASE,LAX,0,0,,,,,,-12
ASE,LAX,0,0,0,0,0,0,56,56
ASE,LAX,0,0,,,,,,-4
ASE,LAX,0,0,7,0,0,0,52,59
ASE,LAX,0,0,0,0,33,0,26,59
ASE,LAX,0,0,2,0,4,0,47,53
ASE,LAX,0,0,,,,,,6
ASE,LAX,0,0,,,,,,5
ASE,LAX,0,0,0,0,0,0,43,43
ASE,LAX,0,0,0,0,0,0,71,71
ASE,LAX,0,0,,,,,,7
ASE,LAX,0,0,,,,,,-3
ASE,LAX,0,0,,,,,,-14
ASE,LAX,0,0,0,0,0,0,20,20
ASE,LAX,0,0,16,0,6,0,33,55
ASE,LAX,0,0,,,,,,-10
ASE,LAX,0,0,,,,,,-20
ASE,LAX,0,0,5,0,0,0,22,27
ASE,LAX,0,0,3,0,0,0,35,38
ASE,LAX,0,0,0,0,3,0,78,81
ASE,LAX,0,0,0,0,0,0,74,74
ASE,LAX,0,0,0,0,0,0,40,40
ASE,SFO,0,0,,,,,,-4
ASE,SFO,0,0,,,,,,-13
ASE,SFO,0,0,,,,,,-27
ASE,SFO,0,0,,,,,,-29
ASE,SFO,0,0,,,,,,-25
ASE,SFO,0,0,0,0,19,0,0,19
ASE,SFO,0,0,0,0,0,0,30,30
ASE,SFO,0,0,,,,,,-20
ASE,SFO,0,0,,,,,,-6
ASE,SFO,0,0,,,,,,-14
ASE,SFO,0,0,,,,,,-18
ASE,SFO,0,0,,,,,,-28
ASE,SFO,0,0,,,,,,-24
ASE,SFO,0,0,,,,,,-31
ASE,SFO,0,0,,,,,,5
ATL,LAX,0,0,,,,,,-15
ATL,SFO,0,0,,,,,,-16
ATL,SAN,0,0,,,,,,-18
ATL,SMF,0,0,,,,,,-10
